Song Name,Artist,Release Date,YouTube Link
Blinding Lights,The Weeknd,2020-11-29,https://www.youtube.com/watch?v=4NRXx6U8ABQ
Shape of You,Ed Sheeran,2017-01-06,https://www.youtube.com/watch?v=JGwWNGJdvx8
Uptown Funk,Mark Ronson ft. Bruno Mars,2014-11-10,https://www.youtube.com/watch?v=OPf0YbXqDm0
Roar,Katy Perry,2013-08-12,https://www.youtube.com/watch?v=CevxZvSJLk8
Bad Guy,Billie Eilish,2019-03-29,https://www.youtube.com/watch?v=DyDfgMOUjCI
Dynamite,BTS,2020-08-21,https://www.youtube.com/watch?v=gdZLi9oWNZg
Happy,Pharrell Williams,2013-11-21,https://www.youtube.com/watch?v=y6Sxv-sUYtM
Love Story,Taylor Swift,2008-09-12,https://www.youtube.com/watch?v=8xg3vE8Ie_E
